Filename,Total Duration (s),Pause Duration (s),Mean Energy,Mean Pitch (Hz),Spectral Centroid,Zero Crossing Rate,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_Delta_1,MFCC_Delta_2,MFCC_Delta_3,MFCC_Delta_4,MFCC_Delta_5,MFCC_Delta_6,MFCC_Delta_7,MFCC_Delta_8,MFCC_Delta_9,MFCC_Delta_10,MFCC_Delta_11,MFCC_Delta_12,MFCC_Delta_13,MFCC_Delta2_1,MFCC_Delta2_2,MFCC_Delta2_3,MFCC_Delta2_4,MFCC_Delta2_5,MFCC_Delta2_6,MFCC_Delta2_7,MFCC_Delta2_8,MFCC_Delta2_9,MFCC_Delta2_10,MFCC_Delta2_11,MFCC_Delta2_12,MFCC_Delta2_13
BillWyman_3.wav,54.0,10.78,0.0197,62.95,2086.38,0.0448,-583.5861,159.20161,-19.938982,28.224285,14.687204,22.274176,-6.726961,8.830468,-2.6063085,-5.3108196,-14.722297,-1.1491785,0.35387295,-0.017291574,-0.0013640167,0.00029241884,-0.000626138,0.0037150513,-0.004529096,-0.0023740325,0.002706018,0.0038617693,0.00400641,0.0011543961,-0.00047156785,-0.0006754214,-0.004449901,-0.009579607,0.0029956745,0.0049342965,0.00016733407,-0.003576,0.0020085555,0.0019801976,0.0036207275,-0.0014139774,0.001286966,-0.0007259831,-0.00088922156
BillWyman_2.wav,23.0,5.72,0.0496,58.31,1709.81,0.0382,-616.52185,177.36043,3.0629158,21.874044,7.743144,10.676768,-7.2369876,1.6843939,-7.4091716,-10.234226,-6.0718985,-1.6722497,0.32890818,0.009159712,0.003718433,0.013502525,0.010442828,-0.009593765,-0.0028729844,-0.0070706457,-0.0057879663,-0.00366881,-0.0010829879,-0.008736763,-0.007861822,0.0030949234,0.0049399626,0.0036354195,-0.0048650545,0.00868394,0.0054827067,-0.0033706122,-0.0023477182,-0.007650653,-0.0032156077,-0.002277894,0.0019828589,-0.005218962,-0.0010444837
BillWyman_1.wav,26.0,4.08,0.0276,63.74,1656.91,0.042,-584.59644,183.71066,-33.21151,31.23587,10.20029,4.547793,-1.2390755,-6.2539444,2.6768153,-23.381592,-2.7582653,-0.69434273,-9.29953,0.015524469,0.014719379,0.00060149,-0.0032384626,0.0003667908,-0.0022035693,-0.002978379,0.0012056082,0.0039719604,0.0027673824,-0.0033849247,-0.007519314,-0.008043592,-0.03310524,-0.015488182,0.012117848,0.0002931944,-0.0010967415,0.0054218234,0.0046648695,0.004652123,0.006357271,0.004997398,5.4563156e-05,0.0020940679,0.004089983
Mel brooks_2.wav,90.0,32.55,0.0348,91.04,2920.13,0.0636,-623.7847,119.59907,-4.082527,48.768303,-10.11002,19.785221,-7.459493,-5.334923,-7.5137706,-2.0672216,-2.0044637,-6.06779,-1.8688096,0.010813168,0.0028733548,-0.010079213,-0.007122045,-0.00012697204,0.0016959927,-0.0030906464,-0.002797366,-0.00019024573,-0.00022752243,0.0016528893,-0.000397617,-0.0003087995,0.0011611851,-0.001618932,-0.00078567385,0.0013523945,-0.0011801993,-0.00029043146,0.00068019726,0.00035307664,0.00030554584,0.00028825286,-5.1505824e-05,-4.9110167e-06,3.7418708e-05
Mel brooks_1.wav,35.0,6.5,0.0237,72.01,1317.04,0.0289,-630.18115,173.20844,-10.532103,30.024519,18.680664,15.930809,11.504339,-2.7550166,1.0120215,-2.3739367,2.2956746,-2.7334614,-4.867973,-0.073452465,-0.04422977,0.005540103,0.023458425,0.013487495,0.0114379525,0.007985513,0.00840778,0.009808018,0.0042281505,0.0011068176,-0.0021339008,-0.0006731242,0.022312125,-0.009787189,-0.008211746,0.0028871363,-0.00072810106,-8.882828e-05,-0.0038200796,-0.001376002,0.0020279824,0.0010286848,0.0005920936,0.0012977634,0.0020201437
daningram_15.wav,46.0,12.06,0.089,64.98,3375.98,0.101,-565.52783,115.34135,-45.106197,40.60905,-10.210403,37.04898,-8.557294,3.3837614,-17.063652,-10.502854,10.523626,-7.499054,-1.5447018,0.030379284,-0.0033234723,-0.016975239,0.008375723,-0.005984395,0.0004022489,0.010062269,-0.0021489018,-0.009097676,-0.0025657252,0.00066806463,0.0029759803,0.0014612933,-0.014177757,-0.0074975393,0.0037975148,0.0020740572,0.00012539205,0.0018084398,0.0050233584,0.004891332,0.0037757442,0.0014711925,-0.0003064813,-0.00092357607,0.0007371421
PaulVerhoeven_3.wav,90.0,79.01,0.0144,61.95,2703.72,0.0645,-776.8638,87.55216,-0.26980338,13.568313,20.22578,6.7494745,-10.20678,-4.030687,-0.90817326,-5.4926977,1.0158116,2.2801278,-2.027822,-0.011431347,-0.0051712375,0.0080261035,0.004296579,-0.0023506829,-0.00022371708,0.0026032077,0.0015402496,0.00053384784,0.00036455604,-0.00033268213,-0.00048023876,0.00037347496,-0.0027319568,-0.0027845544,-7.206232e-05,0.0019363989,0.0015379441,0.0005992641,0.0007451086,0.00093326427,0.00042675645,-0.00036139452,-0.00116145,-0.0015168512,-0.0008513964
terryjones_5.wav,44.0,9.03,0.0356,76.47,2329.37,0.0585,-627.514,144.48094,11.321314,36.857517,-7.405231,11.574962,-19.623287,1.5086238,-12.854617,-11.13258,-8.645953,-9.576481,3.2039444,-0.0064549227,-0.014937576,-0.010003511,0.019049512,0.01615554,0.011813906,-0.005698938,0.0037548975,0.0033446199,0.001896122,-0.0024471737,-0.0021067078,0.00018056578,-0.00876,-0.004128817,0.0058188434,-0.0022530705,0.006945809,-0.004501357,0.0013373587,0.0048290263,0.0012783054,0.0020770554,0.0030511713,0.003959373,-0.0013982506
Patrick Stewart_1.wav,90.0,27.45,0.1942,70.68,3007.47,0.0796,-603.0207,122.36799,-20.25448,48.104263,-1.695032,32.12576,-3.8577998,5.753607,-3.9357095,-5.6482663,3.7577603,-5.7647834,2.3444085,0.016157832,0.015775785,0.002062704,-0.0037582414,-0.0017257696,-0.0056365724,-0.005322015,-0.0037040543,0.0005149721,-0.0006110246,-0.0011976266,-8.877094e-05,-0.0028514734,0.003705516,0.0006398103,-0.0011712303,-0.0011910052,4.6082696e-05,-0.00024432808,0.0001557777,-0.0002495002,0.00082654215,0.000276391,-0.0015107505,-0.0009498329,-0.0011186652
Patrick Stewart_2.wav,67.0,25.16,0.0224,66.06,1802.93,0.0513,-653.4403,159.51393,-19.683977,18.44615,11.896791,5.478635,7.481375,-4.9744587,3.6372805,-5.6916986,-0.13662931,2.4701333,-10.744499,-0.023863118,0.02261865,0.01542029,-0.026436122,0.009501514,0.0046452787,-0.0057027237,0.00096278684,-0.0035330572,0.003080648,-0.0031695804,-0.0032510406,0.000889971,0.0028081776,0.0034750772,0.0025157805,-0.0019608,0.0023131322,0.0013047708,-0.0005978118,0.00034264463,-0.00032718226,8.7247274e-05,-0.0019487438,-0.00072625664,-0.00038794565
